k,P_hvac_1,P_hvac_2,P_hvac_3,P_hvac_4,P_agg,T_1,T_2,T_3,T_4,cost_step
78,0.23652144994965518,0.08304662827294902,3.359721613005785,1.2773548505539591,4.956644541782349,22.41227910731646,20.68292484926235,19.0003797029108,18.99999981576598,0.29120286682971297
79,0.1254736050532218,0.1430486882251546,3.4128270440749704,1.299323811274524,4.980673148627871,21.59270249249746,20.56498175762293,19.00037818845406,18.99999981540727,0.2926145474818874
80,0.24633324009062,0.1421223941979583,3.467898167440692,1.318710845830377,5.175064647559647,21.47215702903765,20.38628287076077,19.00037917243998,18.99999981521861,0.30403504804412923
81,0.3674437940992019,0.9332243816999061,3.554896295938269,1.399410376936201,6.254974848673578,21.64435868791839,18.31772257293892,19.00037887272666,18.99999981493989,0.3674797723595727
82,0.3291318878422461,0.5566626172709866,3.6418934892207373,1.437253412140642,5.964941406474612,20.4235931424378,19.2363062461394,19.00025031396034,18.99999981451854,0.3504403076303834
83,0.3320669222884245,0.8658296012670943,3.725243556372769,1.471556644117205,6.3946967240454935,20.57311828196556,17.82438800933305,19.00018727900148,18.99999981392216,0.3756884325376727
84,0.4016713422730348,0.9318485676436234,3.804541644822658,1.504541219057209,6.642602773796526,19.59095641208702,19.30104682425081,19.00009505992647,19.00001571203474,0.3902529129605459
85,0.3163085704586857,0.6375659323249327,3.8869483879405697,1.547691968618557,6.388514859342745,19.8992595991567,17.94495738860284,19.00001654515097,19.00006271018257,0.10381336646431961
86,1.317364459133526,1.747447760910935,3.9616992867835203,1.5746410072787989,8.601152514106781,21.84414396377949,20.43751884534363,19.00000340651467,19.0001613741222,0.1397687283542352
87,0.9690182936199726,0.9306003123044857,4.0304758619603485,1.5997503882118982,7.529844856096705,22.569173074098,21.32781925348561,19.0000022187817,19.00027514150748,0.12235997891157147
88,1.0467979863626682,1.1317756345341612,4.095484120756768,1.624605495772841,7.8986632374264385,22.83866659030284,21.7580179330349,19.00000235047367,19.00040620559371,0.12835327760817963
89,0.9771442126043689,1.037283441524476,4.17011654288507,1.68348577527095,7.868029972284865,22.89296877276569,21.8844235588184,19.00000265044938,19.00052989291506,0.12785548704962907
90,0.9990069532770721,1.020727552643375,4.231073772282252,1.7023873136924519,7.953195591895151,22.94582770176303,21.93001467306703,19.00000236052181,19.00053066154349,0.12923942836829622
91,0.8253858001067782,0.8183339959126663,4.2816060952325925,1.718072148173153,7.64339803942519,22.9688003040763,21.92199083444117,19.0000020218508,19.00052760004355,0.12420521814065934
92,0.9705093867181395,0.9485442743390847,4.324954603072576,1.732281865472098,7.976290129601898,22.97650801839282,21.90560356809099,19.00000190729942,19.00052783633479,0.12961471460603086
93,0.7963725775681821,0.7139626906806077,4.402595072382251,1.80828203014438,7.7212123707754206,22.95665279058256,21.79471384405772,19.00000199394167,19.00052782194816,0.12546970102510058
94,0.8161359311385832,0.8140508149573003,4.4764924122992475,1.8417547434928712,7.948433901888002,22.96350271160759,21.87295616835885,19.00000165400371,19.00068791181387,0.12916205090568003
95,0.9795609463095618,0.7871475144284348,4.544106170701778,1.870383171984001,8.181197803423776,22.97405917886039,21.6564155332167,19.0000014566028,19.00084792251739,0.13294446430563636
