k,P_hvac_1,P_hvac_2,P_hvac_3,P_hvac_4,P_agg,T_1,T_2,T_3,T_4,cost_step
52,0.2558478049254888,0.17044911470812202,4.4598653856503345,2.660178000301754,7.5463403055857,20.99999114185593,19.9999955241052,21.00000121086652,21.0,0.2735548360774816
53,0.2331855580641729,0.148069186397155,4.320457148792154,2.6216947852761208,7.323406678529603,20.99999222864036,19.99999644352144,21.00000092496043,21.0,0.26547349209669807
54,0.21119248642082109,0.1265971074776226,4.189755562136845,2.5779745275989487,7.105519683634238,20.99999319860841,19.99999731069857,21.00000042990543,21.0,0.2575750885317411
55,0.1942229593914909,0.1104731419985304,4.072632052354159,2.537149527576934,6.914477681321115,20.99999395147108,19.99999803384268,20.99999997265042,21.0,0.2506498159478904
56,0.1794457345473639,0.09685481904861519,3.96633262657223,2.497947282496702,6.74058046266491,20.99999456253828,19.99999865865131,20.99999965373691,21.0,0.244346041771603
57,0.1806302775019588,0.09876313195068605,3.8935936482588542,2.484842560968857,6.657829618680356,20.99999467226715,19.99999886050827,20.99999940497057,21.00000000000001,0.2413463236771629
58,0.1837118372379534,0.102897648914771,3.843459346584169,2.477471458464918,6.607540291201811,20.9999945620129,19.99999883107949,20.9999991131906,21.0,0.23952333555606564
59,0.1943144372608233,0.1149155226383424,3.818929247719348,2.4747951397607832,6.602954347379297,20.99999404579416,19.99999843775657,20.99999880769969,21.0,0.2393570950924995
60,0.2097261619987553,0.1319597137042742,3.815929447195864,2.474917983061598,6.632533305960491,20.99999313188329,19.99999769630987,20.99999850402219,21.0,0.24042933234106778
61,0.2260933557910031,0.15016661563387831,3.822309760120406,2.464162274084877,6.662732005630165,20.99999194432539,19.99999671986318,20.9999981936494,21.0,0.24152403520409346
62,0.24283224031418899,0.1689266727144445,3.8412256986226323,2.4597133392013504,6.712697950852617,20.99999071233473,19.999995641995,20.99999793142911,21.0,0.24333530071840734
63,0.2616784670102788,0.1896412903732666,3.8741580223142202,2.4590683404671356,6.784546120164901,20.99998951944057,19.99999449934063,20.99999776645991,21.0,0.24593979685597764
64,0.2808841687428611,0.2097704341837717,3.920817088115819,2.461027037410953,6.872498728453405,20.99998829295998,19.99999334190316,20.99999765299397,21.0,0.24912807890643593
65,0.29913322603912834,0.2311439686309546,3.951619464321559,2.402546940406748,6.88444359939839,20.99998698998431,19.99999209326584,20.9999975568125,21.0,0.24956108047819162
66,0.3208309235935549,0.2558849089143152,4.003057000337462,2.404847992834905,6.984620825680237,20.99998535925223,19.99999064029062,20.99999790267483,21.0,0.25319250493090856
67,0.3397445103046827,0.2773349464249791,4.067458455999933,2.4111394726900914,7.095677385419686,20.99998382113603,19.99998904117977,20.99999821770352,21.0,0.2572183052214636
68,0.3603813297634409,0.296968787971406,4.14052157601185,2.4193653056548143,7.2172369994015115,20.99998233835016,19.99998730583808,20.99999828844864,21.0,0.26162484122830476
69,1.347185795622938,1.2395524166648562,6.031188478095396,2.99134477487034,11.60927146525353,20.99994678612406,19.99995311781144,20.99999625596364,21.0,0.6820446985836448
70,1.46127326881415,1.3462164606853309,7.136589746872681,2.9916249818464573,12.93570445821862,20.99981897609312,19.99982670770126,20.99998753642012,21.0,0.7599726369203439
